Animal ID,Name,Outcome Date,Outcome Time,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A712054,Hoover,09/16/15,4:09PM,Return to Owner,,Dog,Neutered Male,18 years,Basset Hound Mix,Tricolor
A705907,Snow,09/16/15,4:12PM,Transfer,Partner,Dog,Spayed Female,11 months,Siberian Husky Mix,White/Black
A711759,*Selah,09/16/15,4:49PM,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black/Tan
A710537,Oreo,09/16/15,4:59PM,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White/Black
A621341,Chulo,09/16/15,5:18PM,Return to Owner,,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Brown/White
A701734,Makita,09/16/15,5:22PM,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White
A710724,Ollie,09/16/15,5:31PM,Return to Owner,,Dog,Neutered Male,3 years,Miniature Poodle Mix,White
A711717,Kibo,09/16/15,5:35PM,Return to Owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Red/White
A711763,,09/16/15,5:37PM,Adoption,,Dog,Neutered Male,11 months,Maltese Mix,Buff
A711805,*Bernie,09/16/15,5:42PM,Adoption,,Dog,Neutered Male,3 years,St. Bernard Rough Coat Mix,Tricolor
A712084,,09/16/15,5:48PM,Euthanasia,Suffering,Cat,Intact Female,15 years,Domestic Shorthair Mix,Black
A711768,Canelo,09/16/15,5:49PM,Adoption,,Dog,Neutered Male,10 months,Golden Retriever Mix,Red
A709568,*Helios,09/16/15,6:04PM,Adoption,,Dog,Neutered Male,2 years,Black Mouth Cur Mix,Brown/Black
A711477,Ollie,09/16/15,6:26PM,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Orange Tabby
A700396,Calseta,09/16/15,6:31PM,Return to Owner,,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White
A712087,,09/16/15,7:12PM,Transfer,Partner,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Cream Tabby
A712094,,09/16/15,7:21PM,Euthanasia,Rabies Risk,Other,Unknown,6 months,Bat Mix,Brown
A711545,*Misty,09/16/15,7:30PM,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby
A711895,,09/16/15,7:32PM,Adoption,,Bird,Unknown,1 year,Conure Mix,Green
A711903,*Clarence,09/17/15,12:00AM,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A712062,,09/17/15,9:00AM,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
A712049,,09/17/15,9:00AM,Transfer,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Tortie
A712048,,09/17/15,9:00AM,Transfer,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Tortie
A712051,,09/17/15,9:00AM,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Calico
A712064,,09/17/15,9:00AM,Transfer,SCRP,Cat,Unknown,6 months,Domestic Shorthair Mix,Black
A712100,,09/17/15,9:21AM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Raccoon,Black/Gray
A700550,Anchor,09/17/15,9:23AM,Transfer,Partner,Dog,Neutered Male,6 months,Labrador Retriever/Plott Hound,Black/White
A711813,*Annabell,09/17/15,9:25AM,Transfer,Partner,Dog,Intact Female,6 months,Labrador Retriever Mix,Black/White
A711842,*Banjo,09/17/15,9:27AM,Transfer,Partner,Dog,Neutered Male,5 months,Labrador Retriever Mix,Black/Gray
A711841,*Bingo,09/17/15,9:27AM,Transfer,Partner,Dog,Neutered Male,5 months,Labrador Retriever Mix,Black/White
A711829,*Gretel,09/17/15,9:28AM,Transfer,Partner,Dog,Intact Female,1 month,German Shepherd Mix,Sable
A711832,,09/17/15,9:28AM,Transfer,Partner,Dog,Intact Female,1 month,German Shepherd Mix,Red
A711831,*Hansel,09/17/15,9:28AM,Transfer,Partner,Dog,Intact Male,1 month,German Shepherd Mix,Sable
A711834,*Annika,09/17/15,9:29AM,Transfer,Partner,Dog,Intact Female,1 month,German Shepherd Mix,Sable/Black
A711835,*Josef,09/17/15,9:29AM,Transfer,Partner,Dog,Intact Male,1 month,German Shepherd Mix,Black/Brown
A711837,*Ludwig,09/17/15,9:30AM,Transfer,Partner,Dog,Intact Male,1 month,German Shepherd Mix,Tan
A711836,*Klaus,09/17/15,9:30AM,Transfer,Partner,Dog,Intact Male,1 month,German Shepherd Mix,Tan
A644725,Hogan,09/17/15,11:10AM,Return to Owner,,Dog,Neutered Male,4 years,American Bulldog Mix,White/Brown
A711969,Cookie2,09/17/15,11:32AM,Transfer,Partner,Dog,Intact Female,2 years,Shih Tzu Mix,Sable
A608349,Olivia,09/17/15,11:56AM,Adoption,,Dog,Spayed Female,8 years,Rat Terrier Mix,White/Tricolor
A710453,Spawn,09/17/15,11:57AM,Euthanasia,Aggressive,Dog,Intact Male,3 years,Pit Bull Mix,Blue/White
A710179,Morrow,09/17/15,11:57AM,Adoption,Foster,Cat,Neutered Male,4 months,Snowshoe Mix,Lilac Point
A710418,*Jaycee,09/17/15,11:57AM,Adoption,,Dog,Spayed Female,9 years,Chihuahua Shorthair Mix,Tricolor
A711945,Aquilles,09/17/15,11:59AM,Return to Owner,,Dog,Intact Male,2 years,American Bulldog Mix,Brown Brindle/White
A709659,,09/17/15,12:05PM,Adoption,Foster,Dog,Neutered Male,3 months,Chihuahua Shorthair Mix,Tan
A712103,,09/17/15,12:21PM,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Orange/White
A712104,,09/17/15,12:21PM,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Buff
A712105,,09/17/15,12:22PM,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Chocolate
A712106,,09/17/15,12:22PM,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie
A712057,Jackson,09/17/15,12:22PM,Transfer,Partner,Dog,Neutered Male,7 years,Pomeranian Mix,Buff
A712111,,09/17/15,12:23PM,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby
A712107,,09/17/15,12:23PM,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie
A712110,,09/17/15,12:23PM,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black
A712108,,09/17/15,12:23PM,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue
A712109,,09/17/15,12:23PM,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue
A711880,Leah,09/17/15,12:25PM,Transfer,Partner,Dog,Intact Female,2 months,Australian Shepherd Mix,Black/White
A699543,*Stewie,09/17/15,12:45PM,Transfer,Partner,Dog,Neutered Male,6 months,Labrador Retriever/Pit Bull,White/Black
A711716,Dog,09/17/15,1:48PM,Transfer,Partner,Dog,Intact Male,2 years,American Pit Bull Terrier Mix,Blue/White
A710318,Tank,09/17/15,1:48PM,Transfer,Partner,Dog,Neutered Male,5 years,Pit Bull Mix,Brown Brindle/White
A711893,Frenchy,09/17/15,1:57PM,Transfer,Partner,Dog,Spayed Female,5 months,Labrador Retriever Mix,Tan
A688935,*Ross,09/17/15,2:10PM,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle
A711920,*Rhianna,09/17/15,2:32PM,Transfer,Partner,Dog,Intact Female,2 years,Labrador Retriever Mix,Yellow/White
A712117,,09/17/15,2:33PM,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico
A707914,Brisket,09/17/15,2:57PM,Adoption,Foster,Dog,Neutered Male,3 months,Toy Fox Terrier Mix,Brown/White
A711919,,09/17/15,3:14PM,Transfer,Partner,Dog,Neutered Male,6 years,Maltese Mix,White
A711901,Hope,09/17/15,3:21PM,Return to Owner,,Dog,Spayed Female,5 years,Australian Shepherd Mix,White/Brown
A710089,*Gia,09/17/15,3:48PM,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico
A711897,*Hilda,09/17/15,4:37PM,Adoption,,Dog,Spayed Female,11 months,Great Dane/Labrador Retriever,Black/White
A711881,,09/17/15,4:40PM,Adoption,,Dog,Spayed Female,2 months,Dachshund Mix,Tan/White
A711833,,09/17/15,5:09PM,Adoption,,Dog,Spayed Female,1 month,German Shepherd Mix,Red
A708917,*Dante,09/17/15,5:11PM,Adoption,,Dog,Neutered Male,2 years,American Bulldog/Basset Hound,Black/White
A707663,Lola,09/17/15,5:32PM,Return to Owner,,Dog,Spayed Female,8 months,Beagle Mix,Black/White
A712130,Lucky,09/17/15,5:47PM,Return to Owner,,Dog,Intact Male,6 months,Bull Terrier Mix,White
A711978,Salt,09/17/15,6:02PM,Adoption,,Dog,Neutered Male,10 months,Labrador Retriever/Golden Retriever,White
A711907,Loco,09/17/15,6:18PM,Adoption,,Dog,Neutered Male,5 years,Miniature Poodle Mix,White/Black
A711882,,09/17/15,6:28PM,Adoption,,Dog,Spayed Female,5 months,Rat Terrier Mix,White/Black
A711905,,09/17/15,6:35PM,Adoption,,Dog,Spayed Female,7 months,Flat Coat Retriever Mix,Chocolate
A711872,Aphrodite,09/17/15,6:35PM,Return to Owner,,Cat,Spayed Female,10 years,Domestic Longhair Mix,Brown Tabby
A710210,*Spunky,09/17/15,6:41PM,Adoption,,Dog,Neutered Male,2 years,Miniature Pinscher Mix,Black/Brown
A711771,*Minnie,09/17/15,7:03PM,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan
A711911,Apollo,09/17/15,7:09PM,Adoption,,Dog,Neutered Male,3 years,Anatol Shepherd Mix,Tan/White
A704062,Stella,09/17/15,7:10PM,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie
A708907,*Bagheera,09/17/15,7:10PM,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black Tabby
A711385,Devil,09/17/15,7:41PM,Return to Owner,,Dog,Neutered Male,7 months,Siberian Husky/German Shepherd,Sable
A711384,Boss,09/17/15,7:42PM,Return to Owner,,Dog,Neutered Male,7 months,Siberian Husky/German Shepherd,Brown Merle
A707750,*Dill,09/18/15,8:27AM,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby/White
A692033,Brick,09/18/15,9:47AM,Euthanasia,Court/Investigation,Dog,Neutered Male,3 years,Bull Terrier Mix,White/Tan
A712141,,09/18/15,11:41AM,Transfer,Partner,Cat,Unknown,6 days,Domestic Medium Hair Mix,Black/White
A679213,*Tucker,09/18/15,11:46AM,Adoption,Foster,Dog,Neutered Male,3 years,Black Mouth Cur Mix,Tan
A707811,*Pinto,09/18/15,12:11PM,Transfer,Partner,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,White/Brown
A710696,*Justin,09/18/15,12:28PM,Adoption,,Dog,Neutered Male,3 years,Great Pyrenees Mix,White
A700295,Robin,09/18/15,12:38PM,Adoption,,Dog,Spayed Female,10 months,Labrador Retriever/Anatol Shepherd,White/Tricolor
A711946,Ellie,09/18/15,1:15PM,Adoption,,Dog,Spayed Female,1 year,Siberian Husky Mix,White/Tan
A711150,*Max,09/18/15,1:19PM,Transfer,Partner,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby
A711151,*Harper,09/18/15,1:20PM,Transfer,Partner,Cat,Spayed Female,5 months,Domestic Medium Hair Mix,Tortie
A711749,*Karina,09/18/15,1:20PM,Transfer,Partner,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Tortie
A711152,Emily,09/18/15,1:20PM,Transfer,Partner,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Black/White
A711135,Penguin,09/18/15,1:22PM,Transfer,Partner,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Brown Tabby/White
A711133,Penny,09/18/15,1:22PM,Transfer,Partner,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Brown Tabby
A710178,Louis,09/18/15,1:25PM,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black
A711986,,09/18/15,1:25PM,Transfer,Partner,Dog,Intact Male,3 months,Australian Cattle Dog Mix,White/Black
A708518,Merce,09/18/15,1:43PM,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby
A711383,Greta,09/18/15,1:58PM,Return to Owner,,Dog,Spayed Female,2 years,German Shepherd Mix,Brown/Black
A711902,*Oscar,09/18/15,2:31PM,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black/White
A711904,*Veronica,09/18/15,2:32PM,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico
A712146,Bella,09/18/15,3:06PM,Return to Owner,,Dog,Spayed Female,8 years,Miniature Schnauzer Mix,Gray/Black
A629810,Julio,09/18/15,3:06PM,Return to Owner,,Dog,Neutered Male,8 years,Miniature Schnauzer,Black/Tan
A710644,*Stacy,09/18/15,3:08PM,Transfer,Partner,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,White/Brown
A711428,*Bailey,09/18/15,3:08PM,Transfer,Partner,Dog,Neutered Male,2 years,Labrador Retriever Mix,Red/White
A711157,*Eli,09/18/15,3:10PM,Transfer,Partner,Dog,Neutered Male,2 years,Pug/Beagle,Sable/White
A711848,Foxy,09/18/15,3:11PM,Return to Owner,,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Black/White
A709131,*Harley,09/18/15,3:12PM,Transfer,Partner,Dog,Neutered Male,2 years,Harrier Mix,Red/White
A711878,*Jake,09/18/15,3:12PM,Transfer,Partner,Dog,Neutered Male,4 years,Labrador Retriever Mix,Black/White
A707051,*Lina,09/18/15,3:14PM,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black
A711191,Cassidy,09/18/15,3:16PM,Transfer,Partner,Cat,Neutered Male,9 years,Maine Coon Mix,Cream Tabby/White
A711038,Treasure,09/18/15,3:17PM,Transfer,Partner,Cat,Neutered Male,3 years,Maine Coon Mix,Brown Tabby
A711042,Beauty,09/18/15,3:18PM,Transfer,Partner,Cat,Spayed Female,5 years,Siamese Mix,Tortie Point
A708812,Munchkin,09/18/15,3:19PM,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White
A710879,Handsom,09/18/15,3:22PM,Transfer,Partner,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby
A642665,Anya,09/18/15,3:25PM,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Calico
A703767,Sally,09/18/15,3:26PM,Transfer,Partner,Cat,Spayed Female,3 years,Domestic Medium Hair Mix,Torbie
A709458,*Magnum,09/18/15,3:27PM,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Shorthair Mix,White/Black
A700302,Boss,09/18/15,3:28PM,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever/Great Pyrenees,Red/White
A711999,Oreo,09/18/15,3:31PM,Transfer,Partner,Dog,Neutered Male,3 years,Boston Terrier/Dachshund,Black/White
A711974,,09/18/15,3:32PM,Transfer,Partner,Dog,Intact Female,1 year,Chihuahua Shorthair/Miniature Schnauzer,Black/Tan
A711975,,09/18/15,3:32PM,Transfer,Partner,Dog,Intact Female,1 year,Chihuahua Shorthair/Miniature Schnauzer,Black/Tan
A712114,Sarge,09/18/15,3:59PM,Return to Owner,,Dog,Intact Male,8 years,Pit Bull Mix,Tan/White
A711595,*Griswald,09/18/15,4:15PM,Adoption,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Buff
A707976,,09/18/15,4:37PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby
A711292,Ida,09/18/15,4:39PM,Adoption,,Dog,Spayed Female,1 year,Boxer Mix,White
A710121,*Addy,09/18/15,5:00PM,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black/White
A711941,,09/18/15,5:12PM,Adoption,,Dog,Spayed Female,3 months,Chihuahua Shorthair Mix,Fawn
A712139,Bella,09/18/15,5:23PM,Return to Owner,,Dog,Spayed Female,6 years,Labrador Retriever Mix,Black
A712167,,09/18/15,5:23PM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Black
A712153,Rolex,09/18/15,5:51PM,Return to Owner,,Dog,Neutered Male,6 years,Yorkshire Terrier,Silver/Tan
A712008,Maya,09/18/15,5:57PM,Return to Owner,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black
A712165,,09/18/15,6:00PM,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black
A712164,,09/18/15,6:00PM,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black/White
A712166,,09/18/15,6:00PM,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby
A712179,,09/18/15,6:01PM,Euthanasia,,Cat,Unknown,4 weeks,Domestic Shorthair,Brown Tabby
A711779,Jellie,09/18/15,6:07PM,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Black
A629077,Chloe,09/18/15,6:14PM,Return to Owner,,Dog,Spayed Female,7 years,Pit Bull Mix,White/Brown
A711938,,09/18/15,6:28PM,Adoption,,Dog,Neutered Male,4 months,Dachshund/Chinese Sharpei,Black/Tan
A712005,King,09/18/15,6:51PM,Return to Owner,,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White
A709137,*Prnc Charm,09/18/15,6:55PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A189592,Ophelia,09/18/15,7:04PM,Return to Owner,,Dog,Spayed Female,18 years,Shetland Sheepdog Mix,Brown/White
A712188,,09/19/15,9:00AM,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Medium Hair Mix,Blue Tabby
A712127,,09/19/15,10:13AM,Euthanasia,,Bird,Unknown,2 years,Sparrow Mix,Brown
A703998,Paris,09/19/15,11:08AM,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
A705537,*Bonnie,09/19/15,11:23AM,Adoption,Foster,Dog,Spayed Female,6 years,German Shepherd Mix,Tan
A712189,Judd,09/19/15,11:34AM,Return to Owner,,Dog,Neutered Male,6 years,Beagle Mix,Tricolor
A694580,Rocko,09/19/15,11:38AM,Return to Owner,,Dog,Neutered Male,1 year,German Shepherd/Labrador Retriever,Tan/Black
A711048,Cuddles,09/19/15,12:15PM,Transfer,Partner,Cat,Intact Female,6 years,Siamese Mix,Lynx Point
A711194,,09/19/15,12:20PM,Adoption,,Cat,Neutered Male,3 months,Domestic Longhair Mix,Brown Tabby/White
A712011,Daisy,09/19/15,12:33PM,Adoption,,Dog,Spayed Female,4 years,Jack Russell Terrier/Chihuahua Shorthair,Tricolor
A708815,*Clark,09/19/15,12:34PM,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White/Brown
A711561,*Peter,09/19/15,12:54PM,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan
A712020,,09/19/15,1:01PM,Transfer,Partner,Dog,Intact Female,8 months,Jack Russell Terrier/Labrador Retriever,White/Tan
A705673,Luna,09/19/15,1:01PM,Transfer,Partner,Dog,Spayed Female,1 year,Siberian Husky Mix,Black/White
A711962,*Pepper,09/19/15,1:01PM,Transfer,Partner,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Fawn
A706539,Lumos,09/19/15,1:05PM,Adoption,,Cat,Neutered Male,6 years,Domestic Medium Hair Mix,Brown Tabby/White
A711492,,09/19/15,1:06PM,Adoption,,Dog,Spayed Female,1 month,Plott Hound Mix,White/Brown
A707440,Dro,09/19/15,1:09PM,Return to Owner,,Dog,Neutered Male,1 year,Staffordshire Mix,Blue/White
A711865,*Mavis,09/19/15,1:15PM,Transfer,Partner,Dog,Intact Female,7 months,Bruss Griffon Mix,Black/White
A704910,Precious,09/19/15,1:22PM,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Blue
A710332,Cleo,09/19/15,1:26PM,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
A711955,Scooter,09/19/15,1:36PM,Transfer,Partner,Dog,Neutered Male,2 months,Dachshund Mix,White/Orange
A711641,Mickey,09/19/15,1:38PM,Adoption,,Dog,Neutered Male,2 months,Dachshund/Chihuahua Shorthair,Tricolor
A711229,Ella,09/19/15,1:57PM,Adoption,,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
A712029,,09/19/15,1:59PM,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A706598,*Mr Eddy,09/19/15,2:01PM,Adoption,Foster,Dog,Neutered Male,10 years,Miniature Poodle/Pomeranian,Black
A705276,,09/19/15,2:28PM,Adoption,Foster,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black
A707457,*J Lo,09/19/15,2:28PM,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Longhair Mix,Black
A712223,Judas,09/19/15,2:31PM,Return to Owner,,Dog,Neutered Male,3 years,Boxer,Brown/White
A711918,*Jaqueline,09/19/15,2:33PM,Adoption,,Dog,Spayed Female,3 years,Jack Russell Terrier/Pit Bull,Red
A701605,*Toothless,09/19/15,3:06PM,Adoption,Foster,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Black
A708081,Nickels,09/19/15,3:07PM,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue Tabby/White
A710470,*Felicia,09/19/15,3:29PM,Adoption,,Dog,Spayed Female,2 years,Jack Russell Terrier/Pointer,White/Brown
A711990,*Maggie,09/19/15,3:30PM,Transfer,Partner,Cat,Spayed Female,14 years,Domestic Longhair Mix,Blue
A711663,*Frylock,09/19/15,3:30PM,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
A711664,*Anya,09/19/15,3:30PM,Transfer,Partner,Cat,Intact Female,1 month,Siamese Mix,Lynx Point
A711659,*Ramona,09/19/15,3:30PM,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black Smoke
A703876,Conrad,09/19/15,3:34PM,Adoption,,Dog,Neutered Male,2 years,Rottweiler Mix,Tricolor
A600766,Sgt Finley,09/19/15,3:48PM,Return to Owner,,Dog,Neutered Male,8 years,Great Pyrenees,White/Gray
A709917,*Oberto,09/19/15,3:50PM,Adoption,,Cat,Neutered Male,7 months,Domestic Medium Hair,Cream Tabby
A712214,,09/19/15,3:50PM,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
A609206,Baby,09/19/15,3:52PM,Adoption,,Dog,Spayed Female,4 years,Labrador Retriever/Great Pyrenees,Tan
A712222,,09/19/15,3:57PM,Euthanasia,Suffering,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Cream Tabby
A711598,Osita,09/19/15,4:19PM,Return to Owner,,Dog,Spayed Female,1 year,Chow Chow Mix,Tan
A712162,Coco,09/19/15,4:30PM,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever/Catahoula,Chocolate
A709019,*Levi,09/19/15,4:34PM,Adoption,,Dog,Neutered Male,11 months,Pit Bull Mix,Gray/White
A709018,*Drummond,09/19/15,4:34PM,Adoption,,Dog,Neutered Male,11 months,Pit Bull Mix,Black/White
A712018,,09/19/15,4:37PM,Return to Owner,,Dog,Spayed Female,6 years,Pomeranian/Chihuahua Longhair,Buff/White
A711958,Nugget,09/19/15,4:54PM,Adoption,,Cat,Neutered Male,5 months,Domestic Medium Hair Mix,White/Brown Tabby
A711549,Mya,09/19/15,5:07PM,Died,In Kennel,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Red/White
A711994,,09/19/15,5:08PM,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White
A712068,Minnie,09/19/15,5:20PM,Return to Owner,,Dog,Spayed Female,1 year,Cocker Spaniel Mix,White/Brown
A712069,Chata,09/19/15,5:20PM,Return to Owner,,Dog,Spayed Female,1 year,Shih Tzu/Miniature Poodle,Gray/Black
A702804,,09/19/15,5:33PM,Adoption,Foster,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Brown Tabby/White
A711458,Ms. Scott,09/19/15,5:34PM,Adoption,,Dog,Spayed Female,9 years,Cairn Terrier Mix,Brown Brindle
A711794,*Lewey,09/19/15,5:42PM,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Brown/White
A712061,Beau,09/19/15,5:46PM,Return to Owner,,Dog,Neutered Male,1 year,Shih Tzu,White/Tan
A697428,*Jordy,09/19/15,6:04PM,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White
A355753,Elijah,09/19/15,6:08PM,Adoption,,Dog,Neutered Male,11 years,Beagle Mix,Tricolor
A712131,Nino,09/19/15,6:18PM,Return to Owner,,Dog,Neutered Male,6 months,Doberman Pinsch Mix,Black/Brown Brindle
A711913,Quinn,09/19/15,6:37PM,Adoption,,Dog,Spayed Female,2 months,German Shepherd Mix,Black/Tan
A712248,Chispa,09/19/15,6:40PM,Return to Owner,,Dog,Intact Female,10 years,Chihuahua Shorthair Mix,Black
A712180,,09/19/15,6:52PM,Transfer,Partner,Cat,Intact Male,1 week,Domestic Shorthair,Brown Tabby
A712181,,09/19/15,6:53PM,Transfer,Partner,Cat,Intact Male,1 week,Domestic Shorthair,Brown Tabby
A712182,,09/19/15,6:53PM,Transfer,Partner,Cat,Intact Female,1 week,Domestic Shorthair,Brown Tabby
A706697,*Toby,09/19/15,7:02PM,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby
A712263,,09/20/15,7:57AM,Euthanasia,Rabies Risk,Other,Unknown,4 weeks,Bat,Brown/Black
A712266,,09/20/15,7:57AM,Died,In Kennel,Other,Unknown,4 weeks,Bat,Brown/Black
A712216,,09/20/15,9:00AM,Transfer,SCRP,Cat,Unknown,2 years,Domestic Longhair Mix,Orange Tabby
A712256,,09/20/15,9:00AM,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,White/Black
A712219,,09/20/15,9:00AM,Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Lynx Point
A712255,,09/20/15,9:00AM,Transfer,SCRP,Cat,Intact Male,3 years,Domestic Shorthair Mix,Black
A712206,Dexter,09/20/15,9:00AM,Transfer,SCRP,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Brown Tabby/White
A712220,,09/20/15,9:00AM,Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Brown Tabby
A712089,Peanut,09/20/15,11:52AM,Transfer,Partner,Dog,Neutered Male,5 years,Pug/Pekingese,Brown
A711472,*Zion,09/20/15,11:57AM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
A712050,Francesca,09/20/15,12:26PM,Return to Owner,,Dog,Spayed Female,1 year,Boxer Mix,White
A517675,Blanca,09/20/15,1:08PM,Adoption,,Dog,Spayed Female,11 years,Australian Cattle Dog,White/Black
A711779,Jellie,09/20/15,1:21PM,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Black
A706049,Debo,09/20/15,1:24PM,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever,Black
A703669,*Georgia,09/20/15,2:00PM,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby/White
A631494,Taco Bell,09/20/15,2:03PM,Return to Owner,,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Brown
A707049,Ron,09/20/15,2:14PM,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
